Company Name,Company Address,Expired Date (Halal),Phone No.,Email
SIAK LIANG ENTERPRISE SDN BHD,"LOT 621, BLOCK 24,MTLD JALAN DATUK MOHD. MUSA,94300 KOTA SAMARAHAN, SARAWAK.94300KOTA SAMARAHANSarawak",28/02/2023,082-619300,siakliangenterprise@gmail.com
SIN ENG KEE ENTERPRISE,"NO. 22A, HALA PERUSAHAAN KLEDANG UTARA 3,KAWASAN PERUSAHAAN MENGLEMBU,31450, MENGLEMBU, PERAK",15/07/2023.,0125006816,-
SLX AGRICULTURE PRODUCTS SDN BHD,"LOT 624, MUKIM 12, JURU,14000, BUKIT MERTAJAM, PULAU PINANG",31/01/2023.,045076828,danialng@streamyx.com
SRI SEGAR FOOD CORPORATION SDN BHD,"LOT 522, JALAN TUDM,KAMPUNG BARU SUBANG, BATU 3,40150 SHAH ALAM, SELANGOR.40150SHAH ALAMSelangor",31/05/2024,03-78459888,kongleeeng@yahoo.com
STC POULTRY PROCESSING SDN. BHD.,"LOT. 8, KAWASAN MIEL PERINDUSTRIAN SEMAMBU,25350 KUANTAN, PAHANG.",28/02/2023.,09-566 4218/ 4219,stcpp@hotmail.com
SUMOBEK SDN BHD,"NO 324-G, JALAN BANDAR SENAWANG 17,PUSAT BANDAR SENAWANG 70450, SEREMBAN, NEGERI SEMBILAN.",15/08/2023.,066758424,semosa1997@gmail.com
SYARIKAT PERNIAGAAN HAJI BUDIN,"LOT 1171 PEKAN PEDASLOT 1179, JALAN DPP 1/1, DESA PERMAI PEDAS,71400PEDASNegeri Sembilan",15/11/2022.,0136034365,shjbudin@gmail.com
TAIPING GEMILANG SDN BHD ,"PT 4587, JALAN PERUSAHAAN TUPAI,KAWASAN PERUSAHAAN RINGAN TUPAI, 34000, TAIPING, PERAK.34000TAIPINGPerak",30/11/2023,0124477881,taipinggemilang@yahoo.com
TAIPING POULTRY TRADING,"LOT 46, LORONG KILANG 14,KAWASAN PERINDUSTRIAN RINGAN TUPAI,34000, TAIPING, PERAK",15/11/2023,058072773,chuahkfc9298@gmail.com
TELIC FARM SDN BHD,"LOT 1803-1, JALAN TAMAN MASJID TANAH,MASJID TANAH,78300 ALOR GAJAH, MELAKA.",15/04/2023.,0126117128,telicfarm@gmail.com
TERNAKAN N&A WAWASAN SDN BHD ,"NO. 15, JALAN MUTIARA BIRU, TAMAN MUTIARA SUNGAI KOB, 09700 KARANGAN, KEDAH.",30/04/2023.,044057185,tnawsb608283@gmail.com
UK FARM SDN BHD (FORMERLY KNOWN: SUPERFICIENT MARKETING SDN. BHD),"PLOT 8, PROJEK PERTANIAN MODEN KLUANG,KM 13, JALAN BATU PAHAT,86000 KLUANG, JOHOR.86000KLUANGJohor",31/12/2022.,07-7597555,ukfarm.adm@gmail.com
WAN ISMAIL & FAMILY ENTERPRISE,"NO 40 JALAN WIDURI 3,KG SENTOSA JAYA70400, SEREMBAN, NEGERI SEMBILAN.",15/07/2023.,0196988539,one_ayn@yahoo.com
WANGSA MAJU JAYA ENTERPRISE,"99, JALAN PINANG JAYA BUKIT PINANG,06200 KOTA SETAR, KEDAH.06200Kedah",31/01/2023.,0194513902,wangsamjent@gmail.com
WARISAN INTEGRITI SDN. BHD.,"LOT 3 & 4, BENGKEL STOR,KAMPUNG JAWA BATU 2,09300 BALING, KEDAH",30/11/2022.,01110622551,storewarisan12@gmail.com
WILAYAH FOOD TRADING SDN BHD,"NO 3, JALAN USAHA 2, LORONG USAHA UTAMA,TAMAN PERINDUSTRIAN ULU CHOH, 81500PEKAN NANASJohor",31/07/2024,076993689,aqina@aqina.com
YEUNG LOK COLD STORAGE SDN. BHD,"LOT 61,13 1/2 MILES,KUCHING-SERIAN ROAD,94200 KUCHING, SARAWAK.",31/03/2023,082-614949,ylkilang@yahoo.com.my
YI CHIN TRADING CO,"NO. 145, BATU 7, JALAN PENRISSEN,93250Sarawak",31/01/2023.,0168670296,yichintrading.co@gmail.com
