Company Name,Company Address,Expired Date (Halal),Phone No.,Email
PUSAT MEMPROSES AYAM TERUNTUM,"LOT 10  ( B40 ), KAWASAN  MIEL  PADANG  LALLANG,, LORONG 1, JALAN  PADANG  LALANG,LORONG 1, JALAN PADANG LALLANG,KUANTAN, PAHANG  DARUL  MAKMUR.25000KUANTAN, PAHANG  DARUL  MAKMUR.Pahang",['30/04/2022.'],['0169500093'],['ayamteruntum@gmail.com']
PUYUH MUTIARA ENTERPRISE,"LOT 12843, JALAN TIGA,13200 KEPALA BATAS, PULAU PINANG.Pulau Pinang",['31/03/2022.'],['0195101828'],['puyuhmutiara@gmail.com']
QL AGROVENTURES SDN BHD,"CL 215376542 & CL 215376551, KAMPUNG TOMBOVO, PUTATAN, 88200 KOTA KINABALU, SABAH.Sabah",['28/02/2023.'],['088762401'],['nhshoo@ql.com.my']
QL LIVESTOCK FARMING SDN. BHD.,"GROUND & 1ST FLOOR, S/L 2490,FORTUNE LAND, ROCK ROAD,93200 KUCHING, SARAWAK.",['15/03/2023.'],['(082) 252760/240068'],['ql_agroresources@yahoo.com']
QL TAWAU FEEDMILL SDN. BHD.,"TB 50 & 51 MILE 5, APAS ROAD, P.O. BOX 61651,91022 TAWAU, SABAH.Sabah","['15/03/2023', '30/04/2022.']",['089-917711'],['qltawauhq@ql.com.my']
RASTAMAS COLD STORAGE SDN BHD,"WISMA RASTAMAS, KM 7 JALAN APAS,, WDT 99,WDT 99,TAWAU91009TAWAUSabah",['28/02/2023.'],['089-913235'],['manukmas@gmail.com']
"RUMAH SEMBELIH BENTONG, JABATAN PERKHIDMATAN VETERINAR","LOT 24 B,KAWASAN PERINDUSTRIAN BENTONG,28700 BENTONG, PAHANG.Pahang",['30/04/2022.'],['09-2235393'],['abatoirbent@yahoo.com']
RUMAH SEMBELIH HJ ADAM SDN BHD,"PLOT E, LADANG TENUSU MUADZAM,KM6, JALAN ROMPIN, 26700 MUADZAM SHAH, PAHANG.Pahang",['30/09/2022.'],['0136149478'],['muhammadmitha81@gmail.com']
RUMAH SEMBELIH KUANTAN,"KM 19, JALAN KUANTAN GAMBANG,25720 KUANTAN, PAHANG.Pahang",['30/09/2022.'],['095384422'],['abdraffar@dvs.gov.my']
RUMAH SEMBELIH RUMINAN JABATAN PERKHIDMATAN VETERINAR,"RUMAH SEMBELIH TEMERLOHJABATAN PERKHIDMATAN VETERINAR, LOT 66 KAWASAN PERINDUSTRIAN SONGSANG28000 TEMERLOH, PAHANG28000Pahang",['30/04/2022.'],['092772779'],['zaidi.ismail@dvs.gov.my']
"RUMAH SEMBELIH RUMINAN KUALA LIPIS, JABATAN PERKHIDMATAN VETERINAR MALAYSIA","KOMPLEKS RUMAH SEMBELIH KUALA LIPIS, KM7 JLN PADANG TENGKU27200 KUALA LIPIS, PAHANG DARUL MAKMUR",['31/01/2023.'],['093124867'],['rskl_phg@yahoo.com']
RUMAH SEMBELIH RUMINAN SEBERANG PERAI,"RUMAH SEMBELIH RUMINAN SEBERANG PERAILOT 798 MUKIM 11 BUKIT TENGAH14000, BUKIT MERTAJAM, PULAU PINANG.",['31/10/2022.'],['04-5089051'],['rsbtpp@gmail.com']
SABAH MEAT TECHNOLOGY CENTRE,"JABATAN PERKHIDMATAN VETERINAR, KINARUT, PAPAR,89608 KOTA KINABALU, SABAH.Sabah",['30/06/2022.'],['088 752307'],['alias.ahmat@sabah.gov.my / ardiesollehan.mahali@sabah.gov.com.my']
SATOYAMA FARM SDN BHD,"1ST FLOOR NO. 7, LOT 8513, TABUAN STUTONG COMMERCIAL CENTRE, JALAN SETIA RAJA,93350 KUCHING, SARAWAK.",['15/11/2022.'],['082363162'],['ramzi.hamdi@gmail.com']
SAWIT KINABALU FARM PRODUCTS SDN BHD,"LOCKED BAG NO. 28, KM 2.5, JALAN KUHARA91009, TAWAU,MALAYSIA91009TAWAUSabah",['15/03/2023.'],['089951896'],['skfpsb@sawitkinabalu.com.my']
SBL QUAIL FARM SDN. BHD.,"E 301BATU 3 1/4, JALAN BAKRI,84000 MUAR, JOHOR",['31/12/2022.'],['0127770939'],['tohtianyaw@yahoo.com']
SG DAMAI ENTERPRISE,"NO. 8, LORONG PERUSAHAAN PENGKALAN 5,TAMAN PERUSAHAAN PERKHIDMATAN PENGKALAN,34000, TAIPING, PERAK",['30/11/2022.'],['0166335775'],['SGDAMAIENT@GMAIL.COM']
SIAK LIANG ENTERPRISE SDN BHD,"LOT 621, BLOCK 24,MTLD JALAN DATUK MOHD. MUSA,94300 KOTA SAMARAHAN, SARAWAK.","['28/02/2023', '31/01/2023.']",['082-619300'],['siakliangenterprise@gmail.com']
SMART FOOD VENTURE NETWORKING SDN BHD,"NO. 11 & 12, LUMUT PORT INDUSTRIAL PARK, PHASE II,LEBUH IKS, KAWASAN INDUSTRI KAMPUNG ACHEH,32000, SITIAWAN, PERAK.Perak",['31/08/2022.'],['056925512'],['smartfoodventure@yahoo.com']
SN GROUP ENTERPRISE (M) SDN BHD,"PT 11513, JALAN TELUK MENGKUANG42500 TELUK PANGLIMA GARANGSELANGORSelangor",['15/04/2022.'],['0331226605'],['sngroupsdnbhd@gmail.com']
SRI SEGAR FOOD CORPORATION SDN BHD,"LOT 522, JALAN TUDM,KAMPUNG BARU SUBANG, BATU 3,40150 SHAH ALAM, SELANGOR.","['31/12/2022', '31/03/2022.']",['03-78459888'],['kongleeeng@yahoo.com']
STC POULTRY PROCESSING SDN. BHD.,"LOT. 8, KAWASAN MIEL PERINDUSTRIAN SEMAMBU,25350 KUANTAN, PAHANG.",['28/02/2023.'],['09-566 4218/ 4219'],['stcpp@hotmail.com']
STF AGRICULTURE SDN. BHD.,"NO. 3, LORONG 1 H KKIP SELATAN, INDUSTRIAL ZONE 2 (IZ2)KOTA KINABALU INDUSTRIAL PARK88460 KOTA KINABALU, SABAHSabah","['30/09/2024', '15/05/2022.']",['088787917'],['shaidatulnihar@yahoo.com']
SUMOBEK SDN BHD,"NO 324-G, JALAN BANDAR SENAWANG 17,PUSAT BANDAR SENAWANG 70450 SEREMBAN, NEGERI SEMBILAN.Negeri Sembilan",['15/04/2022.'],['066758424'],['semosa1997@gmail.com']
SYAMIDI ENTERPRISE,"NO. 4, RUMAH SEMBELIHAN AYAM,27000 JERANTUT, PAHANG.Pahang",['30/04/2022.'],['019-9682418'],['Inamidi1718@gmail.com']
SYARIKAT PERNIAGAAN HAJI BUDIN,"LOT 1171 PEKAN PEDASLOT 1179, JALAN DPP 1/1, DESA PERMAI PEDAS, 71400,PEDAS, NEGERI SEMBILAN.",['15/11/2022.'],['0197489510'],['shjbudin@gmail.com']
TAIPING GEMILANG SDN BHD ,"PT 4587, JALAN PERUSAHAAN TUPAI,KAWASAN PERUSAHAAN RINGAN TUPAI, 34000, TAIPING, PERAK.","['30/11/2023', '30/11/2022.']",['058066776'],['taipinggemilang@yahoo.com']
TAIPING POULTRY TRADING,"LOT 46, LORONG KILANG 14,KAWASAN PERINDUSTRIAN RINGAN TUPAI,34000, TAIPING, PERAK","['15/11/2023', '15/11/2022.']",['058072773'],['chuahkfc9298@gmail.com']
TELIC FARM SDN BHD,"LOT 1803-1, JALAN TAMAN MASJID TANAH,MASJID TANAH,78300 ALOR GAJAH, MELAKA.","['15/04/2023', '15/04/2022.']",['0126117128'],['telicfarm@gmail.com']
UK FARM SDN BHD (FORMERLY KNOWN: SUPERFICIENT MARKETING SDN. BHD),"PLOT 8, PROJEK PERTANIAN MODEN KLUANG,KM 13, JALAN BATU PAHAT,86000 KLUANG, JOHOR.","['31/12/2022', '31/08/2022.']",['07-7597555'],['info@ukfarm.com.my']
WANGSA MAJU JAYA ENTERPRISE,"99, JALAN PINANG JAYA BUKIT PINANG,06200 KOTA SETAR, KEDAH.",['31/01/2023.'],['0194513902'],['wangsamjent@gmail.com']
