Company Name,Kitchen,,Company Address,Expired Date (Halal),Phone No.,Email
BIG APPLE INTERASIA SDN BHD,BIG APPLE DONUTS & COFFEE,,"NO.1, JALAN KPB 2,KAWASAN PERINDUSTRIAN BUDIMAN, BATU 10 3/4, 43200CHERASSelangor",15/2/2025,162133265,lisazureena@bigappledonuts.com
BIG ONION FOOD CATERER SDN. BHD,,,"NO.430,  BATU 2 1/2, JALAN SULTAN AZLAN SHAH,51100 WILAYAH PERSEKUTUAN KUALA LUMPUR.51200Wilayah Persekutuan",15/6/2023,03-40414488,bofc@bigonioncaterer.com.my
BOAT NOODLE SDN BHD,BOAT NOODLE,,"NO.3, JALAN PJU 3/48,SUNWAY DAMANSARA TECHNOLOGY PARK,47810PETALING JAYASelangor",30/11/2024.,377336255,hidayah@u5fb.com
BOBA TEA HOUSE,,,2-G JALAN VISTA VALLEY 3SEMENYIH VISTA VALLEY43500SEMENYIHSelangor,.,145125771,azizol.bill@gmail.com
BOBA TEA SDN BHD,DABOBA,,"PT 15650, LENGKOK SRI RAPAT 2, OFF JALAN LAPANGAN TERBANG,31350 IPOH, PERAKPerak",15/9/2023,102698620,halal.daboba@gmail.com
BOGA MANAGEMENT SDN BHD,KIMUKATSU,,"LG 62 & 63, KL EAST MALL,JALAN LINGKARAN TENGAH 2, TAMAN SRI MELATI,53100KUALA LUMPURWilayah Persekutuan",31/10/2023.,143925672,kimukatsuhalal@gmail.com
BOLD HOTEL & RESIDENCES KUALA LUMPUR SDN. BHD.,PERDANA KUALA LUMPUR CITY CENTRE,,"10, JALAN BINJAI50450KUALA LUMPURWilayah Persekutuan",30/11/2024.,03-74903333,pklcc.enquiry@attanahotels.com
BOLEH BOLEH ENTERPRISE,KEDAI MAKAN (KANTIN PEJABAT PENGALIRAN DAN SALIRAN (DID) ,,"KIOSK NO,2A,PREMIS MAJLIS PERBANDARAN KOTA SAMARAHAN,SARAWAK.94300KOTA SAMARAHANSarawak",15/08/2024.,128505521,nassaloi1985@icloud.com
BORDEAUX BAKERY & SWEET (M) SDN BHD,MOLTEN CHOCOLATE CAFE,,"B-6-17 ATIVO PLAZA NO.1,JLN PJU 9/1,DAMANSARA AVENUE,52200BANDAR SRI DAMANSARAWilayah Persekutuan",30/11/2023,62639953,inventory@moltenchocolatecafe.com
BORENOS SDN BHD,BORENOS SDN BHD,,"LOT 1-39, 1ST FLOOR,  STAR CITY NORTH COMPLEXJALAN ASIA CITY 88000Sabah",31/08/2024.,88266023,halal.borenos@gmail.com
BOULEVARD ENTERPRISE (MIRI) SDN. BHD. (IMPERIAL HOTEL),OLD WING,,"LOT 827, BLOCK 9, MCLD,JALAN POS, 98000 MIRI, SARAWAK98000Sarawak",15/11/2023,085-431133,ihmyy@imperial.com.my
BOUSTEAD WELD QUAY SDN. BHD. ( ROYALE CHULAN PENANG FORMERLY KNOWN AS THE ROYALE BINTANG PENANG),,,NO 1 & 2 PENGKALAN WELD 10300GEORGETOWNPulau Pinang,30/11/2024.,04 2598888,dennislee.rcp@royalechulan.com 
BRAHIM'S SATS FOOD SERVICES SDN BHD,,,"CATERING BUILDING, MAS COMPLEX,SOUTH SUPPORT ZONE, KUALA LUMPUR INTERNATIONAL AIRPORT,64000 KLIA SEPANG, SELANGOR.",15/6/2024,387771241,tiada
BRAHIM'S SATS FOOD SERVICES SDN. BHD.(BRAHIM'S AIRLINE CATERING SDN BHD),,,"PENANG FLIGHT KITCHEN, PENANG INTERNATIONAL AIRPORT, JALAN GARUDA11900BAYAN LEPASPulau Pinang",31/01/2024.,604-6405900 / 6405910,nusaibah.maddisa@brahimsats.com
BREAK-THROUGH F&B SDN BHD,,,NO 17-2 JALAN WANGSA DELIMA 5SEKSYEN 5 PUSAT BANDAR WANGSA MAJU (KLSC)53300KUALA LUMPURWilayah Persekutuan,15/08/2023.,392223646,halal@obriens.com.my
BREPPITH TANJONG ENTERPRISE,"KANTIN SMK SONG, KAPIT",,"LOT 656, JALAN TAKAN96850SONGSarawak",15/11/2023.,129448022,breppith@gmail.com
BRIX KITCHEN SDN. BHD.,,,"R-6-G, M CITY AMPANGNO 326, JALAN AMPANG50450KUALA LUMPURWilayah Persekutuan",15/04/2024.,177299294,operations@brix.com.my
BS TWO ENTERPRISE,,,IVY TECNOLOGY GLOBAL SERVICES MALAYSIA SDN BHD-PLOT 50 HILIR SUNGAI KELUANG 2BAYAN LEPAS IND11920BAYAN LEPASPulau Pinang,30/09/2024.,124940117,bse0054@gmail.com
BUBBLEBEE SDN BHD ,"NO.10, JALAN WANGSA DELIMA 2A, WANGSA DELIMA 53300 KUALA LUMPUR",,"NO 10, JALAN PP 11/4ALAM PERDANA INDUSTRIAL PARK, TAMAN PUTRA PERDANA,47130PUCHONGSelangor",31/1/2025,383228882,halal.bubblebeehq@gmail.com
BUILD LAND TECHNOLOGY SDN. BHD.,,,"LOT 939, JLN. SIMPANG LUBOK KAWAH,28000TEMERLOHPahang",15/05/2024.,139933893,jafribuildland1018@gmail.com
BUKIT JAWI GOLF RESORT BERHAD,,,"LOT 414, MUKIM 6, JALAN PAYA KEMIAN SEMPAYISEBERANG PERAI SELATAN14200SUNGAI JAWIPulau Pinang",15/11/2024.,04-5820759,enquiry@bukitjawi.com.my
BUKIT MATA SEAFOOD 25 SDN BHD,,,"NO.25, 5TH FLOOR, TAMAN KERETA TOP SPOT FOOD COURT,JALAN PADUNGAN93100KUCHINGSarawak",15/07/2023.,198899838,bukitmata25@yahoo.com
BUKIT MERAH LAKETOWN RESORT (BUKIT MERAH RESORT SDN BHD),,,"JALAN BUKIT MERAH,34400 SEMANGGOL, PERAKPerak",29/02/2024.,58908888,khaibmr@gmail.com
BUMI MUSTIKA ENTERPRISE,NASI KANDAR DHIYA MAJU,,"LOT 56987 JALAN SJ 4, TAMAN SELAYANG JAYABATU CAVES68100GOMBAKSelangor",15/02/2025.,196606647,kunalannadaraj21@gmail.com
BUMI UNI-PLUS SDN. BHD. (IMPERIAL PALACE HOTEL),"IMPERIAL PALACE HOTEL, MIRI",,"LOT 1120, BLOCK 7, JALAN SEHATI,98000 MIRI, SARAWAK98000MIRISarawak",15/04/2023.,6085437799,iphmyy@imperial.com.my
BUSINESS & BUDGET HOTEL (KUANTAN) SDN BHD,AC HOTEL KUANTAN CITY CENTRE ,,JALAN TELOK SISEK25000KUANTANPahang,28/02/2023.,09 5178000,"aman.dolah@achotelkuantan.com,stephanie.kong@achotelkuantan.com"
BUSSINESS & BUDGET HOTELS PENANG SDN. BHD. (AC HOTEL PENANG BUKIT JAMBUL),,,"213 JALAN BUKIT GAMBIR, JALAN BUKIT JAMBUL,PULAU PINANG11950GEORGETOWNPulau Pinang",30/04/2024.,04-646 800,mohd.fadhil@achotelpenang.com
BW SHAH ALAM SDN BHD,NEXUS REGENCY SUITES & HOTEL,,"2, JALAN PERIMBUN 27/11SEKSYEN 27SHAH ALAM40400SHAH ALAM Selangor",15/09/2024.,351032388,hr@bwnexus.com.my
BZ JUNCTION HOMEMADE BURGER,BZ JUNCTION HOMEMADE BURGER,,STALL NO.35TAMAN SELERA HARMONI96000SIBUSarawak,29/02/2024.,136881168,halaljais.sijil@sarawak.gov.my
C&R ENTERPRISE,,,"CITY HOME OFFICE, LOT 2401, BLOCK 4 MCLD LEVEL 2 UNIT 2.03PIASAU BUSINESS PARK, BULATAN COMMERCIAL CENTRE98000MIRISarawak",15/04/2024.,85661741,ops.cnr@gmail.com
CAFE CAFE (FARLEY) ,RESTORAN CAFE CAFE (FARLEY) BINTULU ( NO 123) ,,"GROUND FLOOR, NO 123,MEDAN JAYA COMMERCIAL CENTRE,97000BINTULU Sarawak",15/12/2024.,198997668,cafecafe.bintulu@gmail.com
CAFE DE LUSCIOUS,(LUSCIOUS HOTEL),,"2178, JALAN BUKIT MINYAK,KAWASAN PERNIAGAAN ASAS MURNI14000Pulau Pinang",30/09/2024.,45883998,tansuhooi@yahoo.co.uk
CAKES 7 BAKERY (M) SDN. BHD.,CAKES 7 BAKERY (M) SDN. BHD,,"NO. 30, JALAN ANGGERIK VANILLA Z 31/Z,KOTA KEMUNING, SEKSYEN 31,40460 SHAH ALAM, SELANGOR.",15/12/2024,179787849,naniecakes7@gmail.com
CANNING DIM SUM SDN BHD,"CANNING DIM SUM, CANNING GARDEN, IPOH",,"NO. 1, LEBUH CECIL RAE,  TAMAN CANNING,31400IPOHPerak",30/11/2023,146036726,nurhidayu.mohdyusup@gmail.com
CANTON BOY SDN. BHD.,CANTON BOY,,"LOT G-012B,GROUND FLOOR,MYTOWN SHOPPING CENTRE,6,JALAN COCHRANE,SEKSYEN 90,55100KUALA LUMPURWilayah Persekutuan",31/01/2025.,102003064,lenah@peak-kitchen.com
CARAMELCRISP MALAYSIA SDN BHD,GARRETT POPCORN,,"LEVEL 15.01, 1 FIRST AVENUE 2A,DATARAN BANDAR AVENUE, BANDAR UTAMA DAMANSARA,47800PETALING JAYASelangor",28/2/2025,122682175,hatikah@garrettpopcorn.com.my
CARE LUXURY SDN BHD,,,"HOTEL GRANADA JOHOR BAHRU55,JALAN INDAH 15/2TAMAN  BUKIT INDAH81200JOHOR BAHRUJohor",31/05/2024.,07-2318888,info.hgjb@careluxuryhotels.com
CASUARINA @ KUALA KANGSAR (LANAI CASUARINA SDN BHD),CASUARINA @ KUALA KANGSAR,,"JALAN BUKIT KERAJAAN,33000 KUALA KANGSAR, PERAK33000Perak",15/05/2024.,57702021,casuarinakkinfo@perakcorp.com.my
"CASUARINA@MERU HOTEL, IPOH (CASUARINA MERU SDN BHD)","COFFEE HOUSE & BANQUET HALL, CASUARINA@MERU HOTEL, IPOH",,"NO. 1-C, JALAN MERU CASUARINA,BANDAR MERU RAYA,30020IPOHPerak",31/01/2024.,55299999,aziz@casuarinahotels.com.my
CATHAYANA ECOTECH SDN BHD,MANA-MANA CAFE/D'BANQUET,,"A4 1/3, LORONG TUN ISMAIL 525000KUANTANPahang",15/8/2024,95172000,cathayanaecotech01@gmail.com
CAWAN MU F&B SDN. BHD.,CAWANMU BOTANI,,"NO. 1, JALAN LAPANGAN SIBER 3,BANDAR CYBER,31350IPOHPerak",30/09/2024.,52380721,cawanmu1969@gmail.com
CEYLONESE RESTAURANT (M) SDN. BHD.,,,"GROUND FLOOR, LOT 95SECTION 48, JALAN GREEN HILL93100Sarawak",31/05/2023.,128915385,damithrc@hotmail.com
CHANCE HOLDING SDN BHD,CHATTO,,"259,JALAN EKOPERNIAGAAN 7,TAMAN EKOPERNIAGAAN2,SENAI AIRPORT CITY 81400 SENAI,JOHOR81400SENAI Johor",31/12/2024,197588548,chatto.halal@gmail.com
CHATIME MALAYSIA SDN. BHD,CHATIME,,"LEVEL 18, BLOCK AMENARA MUSTAPHA KAMAL, PJ TRADE CENTRENO.8 JALAN PJU 8/8A, BANDAR DAMANSARA PERDANA47820PETALING JAYASelangor",15/11/2024,376228542,halal@willgroup.com.my
CHEF X,CHEF X,,"GROUND FLOOR, LOT 1862, JALAN TEMENGGONG OYONG LAWAI JAU,MARINA SQUARE PHASE 2, (MARINA PARKCITY), 98000 MIRI, SARAWAK98000MIRISarawak",15/04/2024.,129795303,chefxmiri.doc@gmail.com
CHERATING HOLIDAY VILLA BERHAD,,,LOT 1303 MUKIM SUNGAI KARANGCHERATING26080Pahang,31/05/2024.,95819500,hrchv@holidayvilla.com.my
CHIC OLE SDN. BHD.,CHIC OLE,,"NO.15-2, JALAN PJU 5/6, DATARAN SUNWAY, KOTA DAMANSARA47810PETALING JAYASelangor",31/7/2024,361403388,subway.uisb@gmail.com
CHICAGO CHICKEN CITY SDN BHD ,,,G-09 TMG MALL BANDAR INDERA MAHKOTA JALAN IM 7/1 BANDAR INDERA MAHKOTA25200KUANTANPahang,31/12/2023,169206834,ashraf.ravi@chicagochickencity.com
CHRISNA JENIO SDN BHD,AUNTIE ANNE'S,,"11, JALAN 4/91A,TAMAN SHAMELIN PERKASA,CHERAS, 56100Wilayah Persekutuan",15/2/2025,03-92004933,info@chrisnajenio.com.my
CITARASA TRADISI TIMUR,CITARASA TRADISI TIMUR,,NO. 12 KAWASAN REHAT & RAWAT GAMBANG (ARAH TIMUR) 26050Pahang,31/10/2024.,139794799,halimatulsaadiah4799@gmail.com
CITARASA UNIQ SDN BHD,,,"NO 32, JALAN INDUSTRI PBP 7, TAMAN INDUSTRI PUSAT BANDAR PUCHONGPUSAT BANDAR PUCHONG47140PUCHONGSelangor",15/04/2023.,03-58790110,bylee@citarasauniq.com.my
CITYTRO SDN BHD (EASTIN HOTEL PENANG),CITYTRO SDN BHD (EASTIN HOTEL PENANG),,"EASTIN HOTEL PENANGNO 1, SOLOK BAYAN INDAH, QUEENSBAY,11900BAYAN LEPASPulau Pinang",30/04/2024.,04-6121111,stella.ng@eastin.com/siti.nasihah@pg.eastin.com
CJ GLOBAL DEVELOPMENT SDN BHD,OZO GEORGETOWN PENANG - MAIN KITHEN,,"166, JALAN ARGYLL10050GEORGETOWNPulau Pinang",15/11/2024.,42263737,nazri.nafiah@ozohotels.com
CMR R3 SDN. BHD.,CMR 3.0 CHINA MUSLIM RESTAURANT,,"70-1-12 D'PIAZZA MALL, JALAN MAHSURI, BAYAN BARU, PULAU PINANG11950Pulau Pinang",31/03/2023.,175961423,cmrrestaurant3@hotmail.com
COFFEE LAB CAFE,"COFFEE LAB CAFE, TELUK INTAN",,"4A-G, JALAN LAMAN INTAN, BANDAR BARU,36000 TELUK INTAN, PERAKPerak",31/03/2023.,192746227,zeonghin@gmail.com
COFFEE-O CORNER SDN BHD,"KOPI-O CORNER ,KUCHING",,"BANGUNAN KEPLI HOLDINGSNO. 139, JALAN SATOK93400Sarawak",15/03/2023.,082-244432,kopiocorner1992@gmail.com
COLUMBIA ASIA HOSPITAL - TEBRAU,CAFE COLUMBIA HOSPITAL TEBRAU,,"COLUMBIA ASIA HEALHTCARE SDN. BHD.SUITE W701, WEST TOWER, 7TH FLOOR, WISMA COSPLANT 1, NO.2 , JALAN SS16/4,47500JOHOR BAHRUSelangor",31/05/2024.,72729999,adzna.abirin@columbiaasia.com
COLUMBIA ASIA HOSPITAL CHERAS ,CAFE COLUMBIA,,"LOT 33107, JALAN SUAKASIH43200Selangor",15/05/2023.,603-90869999,shahrul.padlullah@columbiaasia.com 
"COLUMBIA ASIA HOSPITAL, TAIPING",CAFETERIA COLUMBIA ASIA HOSPITAL TAIPING,,"NO. 5, JALAN PERWIRA,34000TAIPINGPerak",15/02/2025.,58208888,mailto:customercare.taiping@columbiaasia.com
COLUMBIA ASIA SDN BHD,WING A & WING B,,"COLUMBIA ASIA HOSPITAL - BUKIT RIMAUNO.3, PERSIARAN ANGGERIK ERIA,BUKIT RIMAU SEKSYEN 32,40460SHAH ALAMSelangor",15/09/2024.,03-5125 9858,noorkhatijah.mustafa@columbiaasia.com
COLUMBIA ASIA SDN BHD ,,,"NO 1, LEBUH PUTERI BANDAR PUTERI PUCHONG47100PUCHONGSelangor",30/11/2023.,03-80648688,cafe.puchong@columbiaasia.com
COLUMBIA ASIA SDN BHD - SETAPAK,,,"NO 1, JALAN DANAU SAUJANA, JALAN GENTING KLANGKUALA LUMPUR53310Wilayah Persekutuan",15/3/2023,41459999,hishamuddin.kamal@columbiaasia.com
COLUMBIA ASIA SDN. BHD.,CAFE COLUMBIA,,"PERSIARAN AFIAT,TAMAN KESIHATAN AFIAT,ISKANDAR PUTERI79250Johor",31/12/2023,07-2339999,mizalazlan.anang@columbiaasia.com
CONTINENTAL MANAGEMENT SDN.BHD.,,,"CONTINENTAL MANAGEMENT SDN BHD ( AMANSARI HOTEL DESARU), NO 127, JALAN KEMPAS 1, TAMAN DESARU UTAMA, BANDAR PENAWAR,JOHOR.81930BANDAR PENAWARJohor",30/09/2024.,172892506,hr2.hd@amansarihotels.com
CONVENTION & EXHIBITION (PUTRAJAYA) SDN. BHD. ,PULSE GRANDE HOTEL,,PUTRAJAYA INTERNATIONAL CONVENTION CENTREPRECINCT 562000PUTRAJAYAW.P. Putrajaya,30/9/2024,388876000,enquiry@picc.com.my
COOLBLOG ENTERPRISE SDN BHD,COOLBLOG,,"NO.31, JALAN FIRMA 2/1,KAWASAN PERINDUSTRIAN TEBRAU 1,81100JOHOR BAHRUJohor",28/2/2025,07-3555001,info@coolblog.com.my
CORNERY FNB SDN BHD,CORNERY - THE POPCORN GALLERY,,"SS-02-20, SKY-POD SQUARE,PERSIARAN PUCHONG JAYA SELATAN,47100 PUCHONG, SELANGOR.",31/1/2025,358703195,procurement@cornery.com.my
COSMO RESTAURANTS SDN BHD,BURGER KING,,"LEVEL 11, LOT P.T.2811, JALAN ANGSA,TAMAN BERKELEY,41150KLANGSelangor",15/1/2025,333626526,nur.azimah@burgerking.com.my 
COZY OASIS ,MISOKIMCHI ,,"CAMERON FAIR,  C-G-17, JLN CAMELIA, 39000 CAMERON HIGHLANDS, MALAYSIA",31/3/2024,54851249,cozyoasis.ch@gmail.com
CRYSTAL CROWN HOTEL (NIKMAT MAJU DEVELOPMENT S/B,CRYSTAL CROWN HOTEL,,"117, JALAN HARIMAU TARUMTAMAN CENTURY80250JOHOR BAHRUJohor",30/06/2024.,07-3334422,jbadmin@crystalcrown.com.my
"CRYSTAL CROWN HOTEL HARBOUR VIEW, PORT KLANG (A.R. BAHAN BINA SDN. BHD)",BRASS CAFE,,"NO. 217, JALAN PERSIARAN RAJA MUDA MUSA42000Selangor",15/06/2024.,03-31654422,cchpk@crystalcrown.com.my
CRYSTAL CROWN HOTEL PETALING JAYA (NIKMAT MAJU DEVELOPMENT SDN BHD),COFFEE HOUSE - BRASS CAFE,,"NO. 12, LORONG UTARA AOFF JALAN UTARAPETALING JAYA46200Selangor",15/10/2024.,03-79584422,cchpj@crystalcrown.com.my
CRYSTAL CROWN HOTEL SDN BHD (KEPONG),CROWN CAFE ,,"NO. 3, JALAN JAMBU MAWAR OFF JALAN KEPONGJINJANG SELATANKUALA LUMPUR52000KUALA LUMPUR Wilayah Persekutuan",15/08/2023.,03-62594422,cchkl@crystalcrown.com.my
CUBE FOOD INDUSTRIES SDN BHD,LEADDON WHITE COFFEE,,"NO. 11, LORONG TAMAN IPOH 2,TAMAN IPOH SELATAN,31400 IPOH, PERAK31400IPOHPerak",31/12/2024.,175668387,leaddon.cubefood@gmail.com
CUBIC DELIGHT PLT,JORDAN SIGNATURE KUCHING,,"P10-1-7(D), 1ST FLOOR,  CHONGLIN PARK, JALAN TABUAN93200 KUCHING, SARAWAK.",15/8/2024,199991095,ottimomanagement@gmail.com
CURRENT SUPREME SDN. BHD.,HOTEL CATHAYANA,,HOTEL CATHAYANA KUANTANA41/3LORONG TUN ISMAIL 525000Pahang,31/01/2024.,95172000,account@cathayanahotel.com.my
D HENTIAN CAFE,,,"NO,11 R&R GAMBANG ARAH BARAT LPT GAMBANG 26300KUANTANPahang",31/08/2024.,179133839,TIADA
D HONEY SWEET SDN BHD,,,"LOT 8, UNIT NO. 7, BLOK K, GRD FLOOR, GRAND PLAZA, PUTATAN, 88200, PUTATAN, SABAH.88200KOTA KINABALUSabah",15/08/2023.,088-345911,ane_tan@yahoo.com
D LAKSA (M) SDN. BHD.,,,"NO.7, JALAN EMPAYAR 2, & NO.8, JALAN EMPAYAR 4,TAMAN PERINDUSTRIAN EMPAYAR,79200ISKANDAR PUTERIJohor",15/4/2025,125272363,yana_qc@dlaksa.com
D LAKSA CAFE & RESTAURANT SDN BHD,,,"NO. 8, JALAN EMPAYAR 4,TAMAN PERINDUSTRIAN EMPAYAR,79200ISKANDAR PUTERIJohor",31/5/2024,125272363,yana_qc@dlaksa.com
D SASTHA CAFE ,,,"N12, ARAH UTARA, KAWASAN REHAT & RAWAT DENGKIL43800Selangor",30/11/2023.,012-3306545,dsastha12@gmail.com
